Pl 1 hand,Pl 2 hand,Round,Surface,Best of,Final TB?,Year,tournament_level,p1_previous_matches,p2_previous_matches,experience_diff,p1_previous_win_rate,p2_previous_win_rate,win_rate_diff,p1_surface_matches,p2_surface_matches,surface_experience_diff,p1_surface_win_rate,p2_surface_win_rate,surface_win_rate_diff,target
R,R,QF,Clay,3,1,2021,ATP 500,12,4,8,0.8333333333333334,0.5,0.33333333333333337,0,0,0,0.5,0.5,0.0,0
R,R,SF,Clay,3,1,2021,ATP 500,11,5,6,0.8181818181818182,0.6,0.21818181818181825,3,1,2,1.0,1.0,0.0,1
L,R,F,Clay,3,1,2021,ATP 500,1,12,-11,0.0,0.8333333333333334,-0.8333333333333334,0,4,-4,0.5,1.0,-0.5,1
R,L,QF,Hard,3,1,2021,ATP 250,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,0
R,L,SF,Clay,3,1,2021,ATP 250,2,1,1,0.5,1.0,-0.5,0,0,0,0.5,0.5,0.0,0
L,L,F,Clay,3,1,2021,ATP 250,0,2,-2,0.5,1.0,-0.5,0,1,-1,0.5,1.0,-0.5,1
R,R,R64,Clay,3,1,2021,Masters 1000,1,1,0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.0,1
R,R,R32,Clay,3,1,2021,Masters 1000,2,0,2,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,1
R,R,R64,Clay,3,1,2021,Masters 1000,2,0,2,0.0,0.5,-0.5,0,0,0,0.5,0.5,0.0,1
R,R,R64,Clay,3,1,2021,Masters 1000,1,1,0,1.0,0.0,1.0,0,0,0,0.5,0.5,0.0,1
R,R,R64,Clay,3,1,2021,Masters 1000,14,1,13,0.6428571428571429,0.0,0.6428571428571429,1,0,1,0.0,0.5,-0.5,0
R,L,R32,Hard,3,1,2021,Masters 1000,2,1,1,1.0,0.0,1.0,1,1,0,1.0,0.0,1.0,1
R,R,R32,Clay,3,1,2021,Masters 1000,2,3,-1,0.5,0.3333333333333333,0.16666666666666669,1,0,1,1.0,0.5,0.5,1
R,R,R32,Clay,3,1,2021,Masters 1000,13,3,10,0.7692307692307693,0.3333333333333333,0.43589743589743596,5,1,4,0.8,1.0,-0.19999999999999996,1
L,R,R32,Clay,3,1,2021,Masters 1000,2,2,0,0.5,0.5,0.0,1,0,1,1.0,0.5,0.5,1
R,R,R16,Clay,3,1,2021,Masters 1000,3,2,1,0.6666666666666666,1.0,-0.33333333333333337,1,0,1,1.0,0.5,0.5,1
L,R,R16,Clay,3,1,2021,Masters 1000,0,3,-3,0.5,1.0,-0.5,0,0,0,0.5,0.5,0.0,0
R,R,QF,Clay,3,1,2021,Masters 1000,3,4,-1,0.6666666666666666,0.75,-0.08333333333333337,2,2,0,1.0,1.0,0.0,0
L,R,QF,Clay,3,1,2021,Masters 1000,3,2,1,0.6666666666666666,0.5,0.16666666666666663,2,0,2,1.0,0.5,0.5,0
R,R,QF,Clay,3,1,2021,Masters 1000,3,3,0,1.0,0.3333333333333333,0.6666666666666667,1,0,1,1.0,0.5,0.5,1
